Features: 1024d NT embeddings (frozen), 5837 sequences
CV: 5-fold stratified per drug

Drug              N  AUROC >1.0  AUROC median  % pos@1.0
----------------------------------------------------------
FUr            5800      0.5928        0.5414       2.9%
Gentamicin     5788      0.5759        0.5326       0.8%
CC90009        5721      0.5760        0.5382       6.8%
G418           5806      0.5332        0.5380      24.8%
Clitocine      5801      0.6173        0.5637      63.6%
DAP            5793      0.5796        0.5707      52.9%
SJ6986         5779      0.5757        0.5793      64.9%
SRI            5789      0.5753        0.5668      57.1%
Untreated      5785      0.6926        0.5840       0.4%
